id;Perfume;Brand;Country;Gender;Rating Value;Rating Count;Year;Top;Middle;Base;Perfumer1;Perfumer2;mainaccord1;mainaccord2;mainaccord3;mainaccord4;mainaccord5
56490;he wood ocean wet wood dsquared²;DSQUARED2;;men;4,05;528;2010;Sea water, Artemisia and Amber;Violet, Violet Leaf and Musk;Virginia Cedar, Vetyver, Patchouli and Tonka Bean;Alberto Morillas;Daphné Bugey;aromatic;woody;marine;powdery;violet
56491;he wood rocky mountain wood dsquared²;DSQUARED2;;men;4,29;2,357;2009;;;;;;woody;powdery;violet;aromatic;fresh spicy
56492;he wood silver wind wood dsquared²;DSQUARED2;;men;4,14;674;2011;Incense, Lavender and Sage;Nutmeg and Musk;Vanille, Virginia Cedar, Vetiver and Amber;Daphné Bugey;;amber;woody;aromatic;vanilla;powdery
56493;intense he wood dsquared²;DSQUARED2;;men;4,04;270;2014;Violet Leaf, Violet, Watery Notes and Incense;Vetiver, Guaiac Wood, Cedar and Sandalwood;Fir, Amber and Musk;;;woody;aquatic;powdery;aromatic;ozonic
56494;original wood dsquared²;DSQUARED2;;men;4,07;539;2022;Violet Leaf, Watery Notes and Guatemalan Cardamom;Silver Fir, Cedar and Haitian Vetiver;Musk, Amber and Indonesian Patchouli Leaf;Daphné Bugey;;woody;aquatic;aromatic;ozonic;fresh
56495;potion dsquared²;DSQUARED2;;men;4,14;1,449;2011;Angelica, Thyme and Mint;Cinnamon, Pepper, Gentiana and Rose;Amber, Cashmere Wood, Patchouli and Musk;Annick Menardo;;amber;warm spicy;musky;cinnamon;woody
56496;potion blue cadet dsquared²;DSQUARED2;;men;3,69;238;2013;Pink Grapefruit, Bergamot and Mandarin Orange;Hemlock and Balsam Fir;White Cedar Extract, Tonka Bean and Musk;Mathilde Bijaoui;;citrus;woody;fresh spicy;aromatic;floral
56497;potion for women dsquared²;DSQUARED2;;women;3,79;752;2012;Violet, Blackberry and Bergamot;Rhubarb, Rose, Jasmine and Lily-of-the-Valley;Vanilla, Musk, White Musk, Black Amber and Patchouli;Christine Nagel;;fruity;powdery;violet;sweet;vanilla
56498;potion royal black dsquared²;DSQUARED2;;men;4,23;597;2013;Incense, Pimento and Bergamot;Rose, Leather and Tobacco;Guaiac Wood, Cashmere Wood and Musk;;;smoky;rose;amber;woody;leather
56499;red wood dsquared²;DSQUARED2;;women;3,54;628;2019;Cranberry and Pink Pepper;Litchi, Rose and Magnolia;Musk, Cedar and Amberwood;Olivier Cresp;;fruity;woody;musky;rose;floral
56500;she wood dsquared²;DSQUARED2;;women;4,01;3,645;2008;Lemon, Neroli and Jasmine;Violet, Heliotrope and Musk;Cedar, Vetiver and Amber;Daphné Bugey;;powdery;woody;violet;aromatic;floral
56501;she wood crystal creek wood dsquared²;DSQUARED2;;women;3,82;745;2010;Musk, Hawthorn and Jasmine;Water Notes, Violet and Violet Leaf;Woodsy Notes, Vetyver, Sandalwood and Amber;Alberto Morillas;Daphné Bugey;aquatic;woody;powdery;violet;fresh
56502;she wood golden light wood dsquared²;DSQUARED2;;women;3,7;744;2011;Neroli, African Orange Flower and Amalfi Lemon;Heliotrope and Musk;Virginia Cedar and Vetiver;Daphné Bugey;;citrus;woody;white floral;powdery;aromatic
56503;she wood velvet forest wood dsquared²;DSQUARED2;;women;4,02;1,079;2009;;;;Alberto Morillas;Daphné Bugey;woody;green;aromatic;ozonic;aquatic
56504;wild dsquared²;DSQUARED2;;men;3,79;455;2014;;;;Annick Menardo;Daphné Bugey;amber;woody;aromatic;balsamic;earthy
56505;wood for her dsquared²;DSQUARED2;;women;3,69;933;2018;Raspberry Leaf, Magnolia, Mandarin Orange and Lily-of-the-Valley;Osmanthus and Jasmine;White Woods, Ambroxan and Cedar;;;fruity;floral;woody;citrus;white floral
