id;Perfume;Brand;Country;Gender;Rating Value;Rating Count;Year;Top;Middle;Base;Perfumer1;Perfumer2;mainaccord1;mainaccord2;mainaccord3;mainaccord4;mainaccord5
6878;oh-de-moschino;moschino;Italy;women;3,82;684;1996;brazilian rosewood, bergamot, mandarin orange;water lily, lotus, stephanotis, iris, cyclamen, lily-of-the-valley, peony;musk, orris root, hawthorn, heliotrope, sandalwood;unknown;unknown;floral;powdery;white floral;fresh;iris
6879;cheap-and-chic-hippy-fizz;moschino;Italy;women;3,82;1568;2008;amalfi lemon, raspberry, magnolia, green leaves;lotus, rose, violet;musk, osmanthus, virginia cedar, oak moss;vincente marcello;unknown;citrus;floral;fruity;aromatic;musky
6880;alien-aqua-chic-2013;mugler;France;women;3,82;416;2013;lemon blossom, pink grapefruit;orange blossom;woody notes, amber;unknown;unknown;white floral;citrus;woody;amber;soapy
6881;aura-mugler-eau-de-toilette;mugler;France;women;3,82;1391;2018;pear, hibiscus seed, bergamot, lemon;green notes, rhubarb, jasmine, strawberry;tahitian vanilla, orris, musk, ambrette (musk mallow);olivier cresp;unknown;green;fruity;sweet;vanilla;floral
6882;narciso-grace;narciso-rodriguez;USA;women;3,82;368;2020;green apple, peony, jasmine;musk;white cedar extract;daphné bugey;marie salamagne;fresh;musky;fruity;floral;powdery
6883;les-sorbets-de-luna;nina-ricci;France;women;3,82;84;2019;pear, bergamot;peony, magnolia, jasmine;musk, cedar;fabrice pellegrin;unknown;floral;fresh;citrus;musky;fruity
6884;crazy-feelings;o-boticario;Brazil;women;3,82;540;1994;orange blossom, mandarin orange;carnation, rose, lily-of-the-valley;patchouli, vetiver, musk;unknown;unknown;warm spicy;floral;patchouli;woody;white floral
6885;botica-214-fiji-paradise;o-boticario;Brazil;men;3,82;157;2023;cardamom, nutmeg, grapefruit, bergamot;cypress, violet, moss, tonka bean;patchouli, amber, labdanum;christophe raynaud;unknown;warm spicy;woody;aromatic;fresh spicy;amber
6886;egeo-choc;o-boticario;Brazil;women;3,82;1551;2011;whipped cream, red berries, amalfi lemon, peach;mexican chocolate, milk, african orange flower;vanille, benzoin, sandalwood, musk, amber, woodsy notes;marion costero;unknown;sweet;vanilla;lactonic;chocolate;warm spicy
6887;floratta-my-blue;o-boticario;Brazil;women;3,82;251;2022;watery notes, red fruits, melon, watermelon, tangerine;iris, lily-of-the-valley, geranium, verbena;sandalwood, musk, white leather, cashmeran, amber, patchouli;dominique ropion;unknown;powdery;woody;iris;musky;aquatic
6888;floratta-sapphire;o-boticario;Brazil;women;3,82;44;2010;cardamom, bergamot, lily-of-the-valley;iris, violet, hyacinth, heliotrope, freesia;sandalwood, vetyver, vanille, musk, tonka bean;sophie labbé;verônica casanova;powdery;floral;woody;violet;warm spicy
6889;queen-vanilla;o-boticario;Brazil;women;3,82;114;2019;wild berries, peach, raspberry, plum, bergamot;creme brulee, frangipani, jasmine, blueberry;madagascar vanilla, coumarin, amber, benzoin, myrrh, caramel, patchouli, sandalwood;fanny grau;marilia zavisas duarte;sweet;vanilla;amber;fruity;woody
6890;quasar-fire;o-boticario;Brazil;men;3,82;392;2005;green notes, carambola (star fruit), mandarin orange, grapefruit, bergamot;pepper, star anise, nutmeg, ginger, saffron, cardamom, coriander, virginia cedar, iris, basil, sage;amber, sandalwood, cedar, musk, patchouli, vetyver, oakmoss, cypress;unknown;unknown;fresh spicy;warm spicy;aromatic;woody;soft spicy
6891;thaty;o-boticario;Brazil;women;3,82;1187;1980;lavender, eucalyptus;rose, geranium;musk;francisco marano;unknown;lavender;aromatic;fresh spicy;musky;woody
6892;uomini-black;o-boticario;Brazil;men;3,82;321;2006;pepper, cardamom, coriander, thyme;cinnamon, patchouli, geranium;vanille, tonka bean, amber, musk;thierry bessard;unknown;warm spicy;fresh spicy;aromatic;vanilla;amber
6893;zaad-venture;o-boticario;Brazil;men;3,82;72;2024;rosemary, cardamom, bergamot, lemon, petitgrain, pink pepper, rose, cinnamon;sichuan pepper, geranium, birch, lavender, ylang-ylang;moss, vetiver, patchouli, sandalwood, cashmeran, amber, tonka bean;unknown;unknown;woody;aromatic;fresh spicy;citrus;warm spicy
6894;paco-rabanne-pour-elle;paco-rabanne;Spain;women;3,82;620;2003;freesia, pepper, mandarin orange, plum, pink pepper, apricot;jasmine, rose, karo-korund, ylang-ylang, tiare flower;peach, amber, massoia, sandalwood, white musk;jacques cavallier;olivier cresp;floral;white floral;fruity;fresh spicy;sweet
6895;black-xs-los-angeles-for-him;paco-rabanne;Spain;men;3,82;106;2016;orange, clary sage, lemon;cinnamon, apple, pineapple, lily-of-the-valley;woody notes, coumarin, vanila, oakmoss;olivier cresp;unknown;citrus;aromatic;sweet;fruity;woody
6896;elisabethan-rose-vintage;penhaligon-s;UK;women;3,82;431;1984;geranium, aldehydes;rose, chamomile, violet;musk, amber, sandalwood;michael pickthall;unknown;rose;fresh spicy;floral;aromatic;herbal
6897;prada-candy-night;prada;Italy;women;3,82;1452;2019;iris, bitter orange, neroli;vanilla, tonka bean;chocolate, patchouli;unknown;unknown;vanilla;sweet;chocolate;warm spicy;powdery
6898;romance-rose;ralph-lauren;USA;women;3,82;143;2018;litchi, red apple, black currant, bergamot;may rose, rose, jasmine, white violet;musk, patchouli, benzoin;unknown;unknown;fruity;rose;floral;fresh;woody
6899;eau-de-rubylips;salvador-dali;Spain;women;3,82;1253;2005;grapefruit, cotton flower, lily-of-the-valley;pineapple, magnolia, honeysuckle;musk, cedar, amber;michel almairac;unknown;citrus;fruity;floral;powdery;sweet
6900;signorina-ribelle;salvatore-ferragamo;Italy;women;3,82;819;2019;pink pepper, mandarin orange;frangipani, ylang-ylang;ice cream, coconut milk, vanilla;sophie labbé;unknown;sweet;vanilla;coconut;tropical;floral
6901;telea;tiziana-terenzi;Italy;unisex;3,82;244;2020;pear, bulgarian rose, citruses, hawthorn;jasmine, heliotrope, ylang-ylang;musk, haitian vetiver, mahogany, oak, cambodian oud;paolo terenzi;unknown;woody;sweet;floral;fruity;musky
6902;fresh;trussardi;Italy;women;3,82;49;1999;amalfi lemon, red apple, violet leaf, pink pepper;tincture of rose, lily-of-the-valley, jasmine;virginia cedar, oak moss, patchouli;unknown;unknown;woody;white floral;earthy;citrus;rose
6903;blue-jeans;versace;Italy;men;3,82;7864;1994;citruses, bergamot, juniper, anise, brazilian rosewood, basil;lavender, rose, carnation, jasmine, heliotrope, geranium, sage, fir, lily-of-the-valley;vanilla, tonka bean, sandalwood, iris, musk, amber, cedar, patchouli, vetiver;jean-pierre bethouart;unknown;aromatic;fresh spicy;woody;citrus;vanilla
