id|Perfume|Brand|Country|Gender|Rating Value|Rating Count|Year|Top|Middle|Base|Perfumer1|Perfumer2|mainaccord1|mainaccord2|mainaccord3|mainaccord4|mainaccord5
80626|glicine l'amande|L Amande|unknown|women|4,06|16|0|Black Currant, Lemon and Mandarin Orange|Wisteria, Lily-of-the-Valley and Apricot|White Musk and Cedar|unknown|unknown|floral|fresh|white floral|fruity|citrus
31440|eau de basilic pourpre hermès|Hermes|unknown|unisex|3,82|438|2022|Bergamot|Basil and Geranium|Spices and Patchouli|Christine Nagel|unknown|fresh spicy|aromatic|citrus|green|herbal
25995|pink grapefruit bath & body works|Bath Body Works|unknown|women|4,07|123|0|Pink Grapefruit and Orange|Clementine, Kumquat and Jasmine|White Musk and Woodsy Notes|unknown|unknown|citrus|unknown|unknown|unknown|unknown
60814|nickie|Jeanne Arthes|unknown|women|4,0|2|2012|Freesia, Black Currant, Mandarin Orange and Passionfruit|Plum, Apricot, Jasmine, Honeysuckle, Apple and Raspberry|Musk, Mahoganywood, Cedar, Amber and Peach|unknown|unknown|fruity|sweet|woody|white floral|powdery
60689|cobra|Jeanne Arthes|unknown|women|3,55|713|0|Tagetes, Aldehydes, Tangerine and Orange|Tuberose, Spices, Ylang-Ylang, Jasmine, Peach, Orange Blossom, Orris Root and Red Berries|Sandalwood, Vanilla, Musk, Vetiver and Cedar|unknown|unknown|white floral|woody|sweet|powdery|tuberose
62499|arsenic osman extreme|Laurent Mazzone Parfums|unknown|unisex|3,69|42|2020|Plum and Cinnamon|Osmanthus, Violet and Jasmine|Leather, Patchouli, Vanilla and Palo Santo|unknown|unknown|fruity|floral|woody|warm spicy|leather
33907|vanille gaiac m. micallef|M Micallef|unknown|unisex|4,03|30|0|Cloves and Bergamot|Guaiac Wood, Leather and Jasmine|Madagascar Vanilla, Praline, Vetiver and Musk|unknown|unknown|woody|vanilla|sweet|powdery|leather
17732|tilleul-friction-de-nuit|d-orsay|France|women|4,14|103|1999|angelica, petitgrain, citruses water|lime (linden) blossom, cyclamen|black locust, hay, mint, lemon verbena|unknown|unknown|green|sweet|yellow floral|white floral|honey
30390|dia 40 woman|Amouage|unknown|women|4,1|113|2023|Aldehydes, Cyclamen, Musk, Violet Leaf and Black Currant|Ylang-Ylang, Rose, Carnation, Orange Blossom, Cistus Incanus, Tarragon and Bay Leaf|Orris Root, Sandalwood, Amyris and Guaiac Wood|Alexandra Carlin|unknown|floral|aldehydic|woody|fresh|powdery
58932|haute couture|Hanae Mori|unknown|women|3,58|300|1998|Coriander, Bergamot and Lily-of-the-Valley|Narcissus, Jasmine, Tuberose, Gardenia and Iris|Precious Woods, Musk and Sandalwood|unknown|unknown|white floral|aromatic|woody|citrus|green
52701|chamma masculino chamma da amazônia|Chamma da Amazonia|unknown|men|0|0|2014|unknown|unknown|unknown|Oscar Chamma|unknown|green|vanilla|amber|oily|sweet
91084|commitment florale eau de toilette|Otto Kern|unknown|women|3,67|6|2020|Lemon, Lily and Orange|Peony, Jasmine and Rose|Musk, Cedar and Amber|unknown|unknown|white floral|floral|rose|citrus|fresh
50869|tobacco oud|Aurora Scents|unknown|men|4,17|6|2020|Cardamom|Leather and Jasmine Sambac|Oakmoss, Patchouli and Amber|Lorenzo De Mosici|M.H Gerashi|leather|mossy|earthy|woody|animalic
59564|destrier|House of Matriarch|unknown|unisex|4,3|61|2017|unknown|unknown|unknown|Christi Meshell|unknown|green|leather|floral|smoky|woody
40669|zara black eau de toilette|Zara|unknown|women|3,71|45|2020|Orange|Cinnamon|Vanilla|unknown|unknown|vanilla|citrus|sweet|cinnamon|powdery
8604|scarlet-rouge|moresque|Italy|unisex|3,87|99|2022|sweet almond, dried fruits, coconut milk, bergamot|white flowers, cherry blossom, jasmine, taif rose|precious woods, musk, vanilla, tonka bean, spices, amber|unknown|unknown|white floral|floral|woody|fruity|almond
34183|at the barber's|Maison Martin Margiela|unknown|men|3,81|1476|2014|Basil, Bitter Orange and Black Pepper|Lavender, Rosemary and Geranium|White Musk, Moss, Leather and Tonka Bean|Louise Turner|unknown|fresh spicy|aromatic|lavender|musky|herbal
73916|bolshevixen|Smell Bent|unknown|unisex|4,1|20|2012|unknown|unknown|unknown|Brent Leonesio|unknown|woody|warm spicy|cacao|cinnamon|fresh spicy
62562|lysandra|Le Couvent Maison de Parfum|unknown|unisex|3,79|118|2019|unknown|unknown|unknown|Jean-Claude Ellena|unknown|white floral|citrus|unknown|unknown|unknown
50829|elfen spring|Auphorie|unknown|unisex|4,48|31|2016|Melon, Water Notes, Lotus and Mandarin Orange|Water Lily, Lily-of-the-Valley, Gardenia and Tuberose|Amber, Musk and Precious Woods|Eugene Au|unknown|aquatic|fresh|white floral|floral|ozonic
